Ticker,Name,Exchange,Category,Country
AEFES.IS, Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,IST,,Turkey
AKBNK.IS,Akbank T.A.S.,IST,,Turkey
ALKIM.IS, Alkim Alkali Kimya A.S.,IST,,Turkey
ARCLK.IS,Arcelik Anonim Sirketi,IST,,Turkey
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi,IST,,Turkey
BIMAS.IS,BIM Birlesik Magazalar A.S.,IST,,Turkey
CCOLA.IS,Coca-Cola Icecek Anonim Sirketi.,IST,,Turkey
DOHOL.IS,Dogan Sirketler Grubu Holding A.S.,IST,,Turkey
ECILC.IS,EIS Eczacibasi Ilac Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S. (ECILC.IS),IST,,Turkey
EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
ENJSA.IS,Enerjisa Enerji A.S.,IST,,Turkey
EREGL.IS,Eregli Demir ve Çelik Fabrikalari T.A.S.,IST,,Turkey
FROTO.IS,Ford Otomotiv Sanayi A.S.,IST,,Turkey
GARAN.IS,Turkiye Garanti Bankasi A.S.,IST,,Turkey
GUBRF.IS,Gubre Fabrikalari Turk Anonim Sirketi (GUBRF.IS),IST,,Turkey
HALKB.IS,Turkiye Halk Bankasi Anonim Sirketi,IST,,Turkey
HEKTS.IS,Hektas Ticaret T.A.S. (HEKTS.IS),IST,,Turkey
ISCTR.IS,Turkiye Is Bankasi A.S. (ISCTR.IS),IST,,Turkey
ISFIN.IS,Is Finansal Kiralama Anonim Sirketi (ISFIN.IS),IST,,Turkey
ISGYO.IS,Is Gayrimenkul Yatirim Ortakligi Anonim Sirketi (ISGYO.IS),IST,,Turkey
KARSN.IS,Karsan Otomotiv Sanayii ve Ticaret A.S. (KARSN.IS),IST,,Turkey
KCHOL.IS,Koc Holding Anonim Sirketi,IST,,Turkey
KOZAA.IS,Koza Anadolu Metal Madencilik Isletmeleri A.S.,IST,,Turkey
KOZAL.IS,Koza Altin Isletmeleri A.S.,IST,,Turkey
KRDMD.IS,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.S.,IST,,Turkey
MGROS.IS,Migros Ticaret A.S. (MGROS.IS),IST,,Turkey
MPARK.IS,MLP Saglik Hizmetleri A.S. (MPARK.IS),IST,,Turkey
ODAS.IS,Odas Elektrik Uretim Sanayi Ticaret A.S. (ODAS.IS),IST,,Turkey
OYAKC.IS,OYAK Cimento Fabrikalari A.S. (OYAKC.IS),IST,,Turkey
PETKM.IS,Petkim Petrokimya Holding Anonim Sirketi,IST,,Turkey
PGSUS.IS,Pegasus Hava Tasimaciligi Anonim Sirketi,IST,,Turkey
SAHOL.IS,Haci Omer Sabanci Holding A.S.,IST,,Turkey
SASA.IS,Sasa Polyester Sanayi A.S. (SASA.IS),IST,,Turkey
SISE.IS,Turkiye Sise Ve Cam Fabrikalari A.S.,IST,,Turkey
SKBNK.IS,Sekerbank T.A.S. (SKBNK.IS),IST,,Turkey
SOKM.IS,Sok Marketler Ticaret A.S. (SOKM.IS),IST,,Turkey
TAVHL.IS,TAV Havalimanlari Holding A.S.,IST,,Turkey
TCELL.IS,Turkcell Iletisim Hizmetleri A.S.,IST,,Turkey
THYAO.IS,Turk Hava Yollari Anonim Ortakligi,IST,,Turkey
TKFEN.IS,Tekfen Holding Anonim Sirketi,IST,,Turkey
TOASO.IS,Tofas Turk Otomobil Fabrikasi A.S.,IST,,Turkey
TRGYO.IS,Torunlar Gayrimenkul Yatirim Ortakligi A.S. (TRGYO.IS),IST,,Turkey
TSKB.IS,TUrkiye Sinai Kalkinma Bankasi A.S. (TSKB.IS),IST,,Turkey
TTKOM.IS,Turk Telekominikasyon A.S.,IST,,Turkey
TUPRS.IS,Turkiye Petrol Rafinerileri A.S.,IST,,Turkey
TURSG.IS,Turkiye Sigorta Anonim Sirketi (TURSG.IS),IST,,Turkey
ULKER.IS,Ulker BiskUvi Sanayi A.S. (ULKER.IS),IST,,Turkey
VAKBN.IS,Turkiye Vakiflar Bankasi Turk Anonim Ortakligi,IST,,Turkey
VESTL.IS,Vestel Beyaz Esya Sanayi ve Ticaret A.S. (VESBE.IS),IST,,Turkey
YKBNK.IS,Yapi ve Kredi Bankasi A.S.,IST,,Turkey
XU030.IS,BIST 30,IST,,Turkey
TRY=X,USD/TRY,IST,,Turkey
GC=F,Gold Dec 21,USA,,USA
